localminute,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,Power_consumption,Big Delta,rrh_0,rrh_1,rrh_2,rrh_3,rrh_4,rrh_5,rrh_6,rrh_7,rrh_8,rrh_9,rrh_10,rrh_11,rrh_12,rrh_13,rrh_14,rrh_15,rrh_16,rrh_17,rrh_18,rrh_19,rrh_20,rrh_21,rrh_22
1-Jan-12,0.241883333,-3.59955,0.599566667,1.524783333,-1.067516667,0.301616667,0.442833333,-10.20968333,1.796966667,-3.888816667,-2.45315,-2.012216667,0.98825,-2.185366667,0.06445,-2.0187,-3.026266667,0.285683333,0.219466667,0.416866667,-6.944533333,0.259283333,-8.5075,7.14165,4.856322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-13,0.245516667,-3.546033333,0.912466667,1.509983333,-1.482216667,0.4246,0.4146,-14.41743333,1.8627,-4.04195,-3.044216667,-2.961133333,1.185733333,-2.0357,0.064333333,-2.312783333,-4.286633333,0.279766667,0.225216667,0.56335,-5.883283333,0.188616667,-8.907883333,7.876883333,5.356280667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-14,0.258633333,-1.1266,0.915933333,0.958183333,-0.498666667,0.415683333,0.694316667,-8.054283333,1.754666667,-1.243983333,-1.413416667,-1.8167,0.88895,-0.021533333,0.067116667,-1.404133333,-2.523016667,0.260866667,0.515783333,0.543433333,-3.39965,0.277866667,-4.097783333,7.551433333,5.134974667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-15,0.395616667,-0.569416667,1.1887,0.765266667,-0.352333333,0.392266667,0.531916667,-4.914616667,1.745333333,-1.21445,-0.849783333,-0.847416667,0.739733333,0.3373,0.067683333,-0.730716667,-1.038666667,0.2992,0.516316667,1.706733333,-2.825216667,0.170316667,-2.843083333,8.856383333,6.022340667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-16,0.275383333,0.2733,1.269133333,0.837916667,0.641433333,0.364516667,0.458916667,-0.810116667,1.653316667,0.121166667,0.01045,-0.201416667,0.7406,0.853483333,0.0868,-0.1511,-0.279716667,0.288383333,0.567866667,1.579333333,0.088033333,0.9731,-1.535733333,11.08313333,7.536530667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-17,0.252533333,0.6773,1.095683333,0.885816667,1.56525,0.312816667,0.43575,0.826316667,2.187166667,1.041416667,0.148566667,0.155433333,0.770733333,1.372716667,0.36615,0.539816667,0.48985,0.286616667,0.329966667,1.2251,1.870833333,0.399566667,-0.23865,17.2354,11.720072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-18,0.239933333,0.935183333,0.888833333,1.0228,5.092516667,0.268183333,0.884466667,1.669916667,2.319716667,1.208133333,0.27825,0.255916667,0.800183333,1.325766667,0.998766667,1.6422,1.4112,0.3296,0.30285,0.876283333,2.13865,1.187666667,0.780816667,26.85783333,18.26332667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-19,0.24325,1.104083333,0.892466667,1.263483333,2.754716667,1.456483333,0.512566667,1.690483333,1.896416667,1.237466667,5.749833333,0.698266667,0.737983333,1.370183333,1.48675,0.254966667,2.455283333,0.584516667,0.38515,0.453833333,2.488816667,2.17135,0.879366667,32.76771667,22.28204733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-20,0.24135,1.1193,0.8078,1.492133333,0.703183333,1.083816667,0.5405,2.287866667,1.471433333,1.331416667,5.897583333,1.754366667,0.76745,1.420933333,0.62715,0.271733333,0.89295,0.928383333,0.339283333,0.528133333,1.460566667,2.185833333,0.844683333,28.99785,19.718538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-21,0.302316667,0.971,0.976166667,1.109183333,0.54875,2.653316667,0.5228,2.0785,1.2937,1.182783333,0.303,1.774433333,0.7585,1.42025,0.528666667,0.370983333,0.5042,0.541416667,2.855933333,0.215366667,0.773833333,2.124383333,0.7842,24.59368333,16.72370467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-22,0.255383333,0.898333333,1.046233333,0.733566667,0.442166667,0.9489,0.48715,2.440666667,1.153416667,0.834033333,0.254716667,1.772433333,0.77515,1.4683,0.493133333,0.278633333,0.3914,0.473583333,0.2401,0.15055,0.571666667,2.126033333,0.459,18.69455,12.712294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-23,0.253566667,0.87375,0.723466667,0.73925,0.37265,0.392166667,0.688916667,2.31325,1.4155,0.423383333,0.3183,1.09295,0.7695,1.394966667,0.535616667,0.278666667,0.38475,0.494983333,0.23985,0.192783333,0.573516667,2.127216667,0.3711,16.9701,11.539668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-00,0.266316667,0.875,0.636383333,0.757083333,0.446,0.208166667,0.4142,2.0762,2.753283333,0.4279,0.198116667,0.222716667,0.737533333,0.896966667,0.624616667,0.255433333,0.396116667,0.92785,0.225416667,0.559566667,0.578833333,2.179433333,0.42655,17.08968333,11.62098467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-01,0.265516667,0.870183333,0.59775,0.7623,0.425383333,0.1718,1.057533333,2.58945,2.537916667,0.426716667,0.20425,0.228533333,0.764866667,0.34675,0.510116667,0.283816667,0.38115,0.3933,0.2275,0.136733333,0.60305,1.807033333,0.411,16.00265,10.881802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-02,0.270116667,0.873166667,0.599766667,0.723066667,0.4398,0.236016667,0.889416667,1.86265,1.60025,0.41775,0.294266667,0.3735,0.7815,0.33715,0.5155,0.320033333,0.354533333,0.2913,0.224016667,0.18445,0.594783333,1.782216667,0.485,14.45025,9.82617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
