localminute,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,Power_consumption,Big Delta,rrh_0,rrh_1,rrh_2,rrh_3,rrh_4,rrh_5,rrh_6,rrh_7,rrh_8,rrh_9,rrh_10,rrh_11,rrh_12,rrh_13,rrh_14,rrh_15,rrh_16,rrh_17,rrh_18,rrh_19,rrh_20,rrh_21,rrh_22
1-Jan-15,0.80325,0.287216667,0.20675,0.541916667,0.349216667,0.145533333,1.456966667,0.33845,0.550916667,0.124516667,0.7643,0.44065,0.259333333,0.086633333,0.64825,0.529533333,0.405633333,0.288266667,0.173466667,0.931316667,0.678066667,-0.782033333,0.734633333,10.74481667,7.306475333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-16,0.791666667,0.406183333,0.244666667,0.422066667,1.339533333,0.153716667,0.8861,0.264766667,0.657333333,0.153683333,1.346766667,0.755283333,0.184416667,0.28795,0.586783333,0.59525,0.547883333,0.516233333,0.199516667,1.06545,0.581116667,-0.58395,0.33005,12.31641667,8.375163333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-17,0.789033333,0.5821,0.112283333,0.291433333,0.41655,0.193433333,0.665733333,0.251633333,0.557266667,0.125266667,1.313333333,0.865816667,0.267916667,0.276833333,0.48325,0.816,0.287916667,0.219016667,0.206516667,2.348533333,1.155966667,-0.190166667,0.355583333,12.58141667,8.555363333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-18,0.88885,0.6365,0.1921,0.4262,0.42855,0.1407,0.412966667,0.265583333,0.610783333,0.141,1.309483333,0.312716667,0.1808,0.26485,1.361083333,0.568333333,0.43805,0.261483333,0.169683333,2.062783333,0.7309,0.147166667,0.240466667,12.19103333,8.289902667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-19,1.408666667,0.696333333,0.1817,0.439133333,0.624833333,0.539616667,0.976816667,0.24395,1.215,0.1553,1.4002,0.309533333,0.264266667,0.515533333,0.929516667,0.61535,0.452683333,0.2292,0.326183333,1.181883333,0.642116667,0.312766667,1.086466667,14.74705,10.027994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-20,1.472633333,0.9837,0.356366667,0.317216667,0.6735,0.7098,1.857166667,0.749766667,1.67045,0.109,0.895083333,0.272933333,0.1761,0.48725,0.634533333,0.59185,0.423133333,0.170866667,0.289416667,0.686233333,0.6555,0.470466667,1.087016667,15.73998333,10.70318867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-21,1.322683333,1.072616667,0.678716667,0.469533333,0.62145,0.7489,1.995716667,0.226583333,2.241283333,0.15315,0.446583333,0.3044,0.209166667,0.286583333,0.79125,0.535666667,0.202316667,0.539266667,0.300183333,0.4479,0.680666667,0.411416667,0.5898,15.27583333,10.38756667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-22,1.0232,0.905716667,0.29705,0.441483333,0.36955,0.591033333,2.249233333,0.3282,1.134383333,0.153583333,0.353366667,0.346,0.233116667,0.182666667,1.033833333,0.529683333,0.167033333,0.4213,0.426,0.4361,0.720466667,0.357683333,0.401833333,13.10251667,8.909711333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Jan-23,0.841283333,0.461833333,0.2346,0.135016667,0.312433333,0.58435,1.996683333,0.24535,0.914683333,0.126,0.5413,0.391083333,0.207566667,0.173583333,1.005383333,0.638616667,0.1394,0.277216667,0.921383333,0.460866667,0.609916667,0.365133333,0.563766667,12.14745,8.260266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Jan-00,0.690866667,0.316366667,0.125533333,0.2134,0.3074,0.389516667,2.192816667,0.509433333,0.49395,0.51675,0.56655,0.279216667,0.196733333,0.120616667,0.726933333,0.396683333,0.174283333,0.4984,0.56945,0.396616667,0.5225,0.5434,0.483283333,11.2307,7.636876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
